title,start_date,deadline_date,summary,amount,fund_name,source_url,category,fetched_at
,,,,,,,SDGs,2025-10-08
”カナエルチカラ”2026　10/31,2025-10-01,2025-10-31,「生きるたのしみ」と「働くよろこび」が相互に良い影響を与え合い、豊かな関係性を築く事業を支援対象とします。,,中央労働金庫,https://chuo.rokin.com/aboutus/csr/subsidy/application/,福祉 / SDGs,2025-10-08
がん患者支援活動助成 ー 希望をともに育むプロジェクト ー　11/4,,2025-11-04,日本国内において、がん患者・家族の支援推進を目的とする、新たな活動の立ち上げまたは既存活動の拡充を図る活動を対象とします。ただし、日本対がん協会「がんアドボケート活動助成」の過去の採択団体は、新たな活動の立ち上げに限り対象とします。日本対がん協会との共同主催活動は対象外とします。,,日本対がん協会,https://www.gsclub.jp/grant-program,医療 / 福祉,2025-10-08
環境保全プロジェクト助成　10/19,,2025-10-19,国内において、自然保護、生態系保全、ごみ問題、気候・エネルギーなど環境に関する分野で実践的活動や普及啓発活動を行い、原則として2025年度中に開始されるか既に開始されており、継続性および発展性を持ちその成果が公益に貢献するプロジェクトを対象とします。,,公益財団法人SOMPO環境財団,https://www.sompo-ef.org/project/project.html,環境 / SDGs,2025-10-08
,,,,,,,その他,2025-10-08
,,,,,,,SDGs / 地域活性 / 福祉,2025-10-08
2026年度コープみらい・くらしと地域づくり助成 10/31,2025-09-01,2025-10-31,公益を目的とし、政治・宗教活動や営利を事業目的としない団体で、千葉県、埼玉県、東京都に活動拠点を持ち、すでに活動しているか、活動を立ち上げようとしている団体を対象とします。法人格の有無は問わず、代表者・所在地等、組織や事業の運営に関する重要事項が定まっており、会員数が5人以上であることが要件です。,,一般財団法人コープみらい社会活動財団,https://www.coopmirai-zaidan.or.jp/josei/collect/,地域活性,2025-10-08
,,,,,,,その他,2025-10-08
,,,,,,,SDGs,2025-10-08
,,,,,,,その他,2025-10-08
,,,,,,,その他,2025-10-08
,,,,,,,その他,2025-10-08
第26回社会貢献基金助成　1/31,2025-10-01,2026-01-31,本助成の対象は、本助成の趣旨に合致する事業を行う非営利組織（財団法人、社団法人、社会福祉法人、NPO法人、その他任意団体、市民ボランティアグループを含む）とします。個人資格による申請は対象外です。当該団体は、定款に準ずる規約、自ら経理し監査できる会計機能、日本国内に主たる事務所、および活動を執行する体制を有することを要します。さらに、本申請の活動または類似活動の実績が3年以上あり、ニーズが高く継続性が期待できること、および他の民間団体等からの助成を除く自己資金を保有していることを条件とします。,,一般社団法人全日本冠婚葬祭互助協会(全五協）,https://www.zengokyo.or.jp/social/fund/support/,その他,2025-10-08
,,,,,,,その他,2025-10-08
2026年度 「環境市民活動助成」　10/31,2025-09-01,2025-10-31,地域の市民活動団体、非営利の活動を行う団体、およびNPO法人、一般社団法人、自治会、町内会を含む任意団体を対象とします。,,一般財団法人セブン-イレブン記念財団,https://www.7midori.org/josei/,環境 / 地域活性,2025-10-08
,,,,,,,その他,2025-10-08
２０２６年度ヤマト福祉財団助成金　11/30,2025-10-01,2025-11-30,"「障がい者給料増額支援助成金」は、就労継続支援A型事業所、就労継続支援B型事業所、生活介護事業所、地域活動支援センターを対象とします。ただし、最低賃金減額特例許可申請施設は対象外です。応募要件として、厚生労働省が発表した2023（令和5）年度全国平均工賃額（月額）を勘案し、就労継続支援A型事業所は74,000円以上、B型・その他は18,000円以上を支給していること、2024年4月からの1年間の給料支給実績があること、および2024年度以降（過去2年間）同一事業所で本助成金を受けていないことが求められます。対象事業は2026年4月以降に開始し、2026年12月末日までに購入を完了し助成金を受給するものであり、助成対象事業について自己資金の10%以上を負担する必要があります。 「障がい者福祉助成金」は、2024年4月から1年間以上活動実績のある事業所、施設、団体（個人の活動は除く）を対象とします。応募要件として、2024年度以降（過去2年間）同一事業所・団体等で本助成金を受けていないこと、および2026年4月以降に開始し2027年2月末日までに完了する事業、活動に限定されます。波及効果が望め、次年度以降も継続性の見込める事業、活動が優先されます。",,公益財団法人ヤマト福祉財団,https://www.yamato-fukushi.jp/works/subsidy.html,福祉 / SDGs,2025-10-08
2025年度 地域みらい助成金  10/31,2025-09-01,2025-10-31,当金庫の営業地域（本・支店がある自治体）に拠点を置き、地域社会の課題解決活動を行う団体を対象とします。非営利・営利・共益の有無を問わず、個人事業主、任意団体、NPO法人（認定・特例認定を含む）、一般社団法人および一般財団法人、公益社団法人および公益財団法人、社会福祉法人、株式会社が対象であり、責任の所在が明確で適切な団体運営が行われていることを要件とします。本助成事業は、対象分野に制限を設けず、様々な地域課題や社会課題を解決し、地域社会の持続可能性を高める事業を支援します。ただし、助成金の管理能力に欠ける団体、法令遵守に問題がある団体、特定の政治・宗教に偏る目的や活動内容を持つ団体は対象外であり、申請コースごとに別途要件が設定されています。,,西武信用金庫,https://www.shinkin.co.jp/seibu/about/outline/region/chiikimiraizyoseikin.html,地域活性 / SDGs,2025-10-08
多摩川の美しい未来づくり助成　10/15,2025-10-01,2025-10-15,多摩川およびその流域の環境保全・改善に関する実践的な活動や研究を対象とします。民間非営利団体（NPO/NGO、任意団体等）が一定の科学的根拠（エビデンス）に基づいて行う活動や研究、研究者・研究機関（団体）が社会に対して発信する活動や地域の市民を巻き込んで行う研究、またはこれらが協働して推進する活動や研究が助成対象です。特に、狭義の学問領域を超え、市民の環境意識向上や行動変容に繋がることを目指した活動や研究を推奨します。,,東急財団,https://foundation.tokyu.co.jp/environment/kankyo-josei/,環境 / 研究 / 教育,2025-10-08
がん患者団体助成　10/17,,2025-10-17,2026年4月から12月末までに実施される事業を対象としますが、公的援助を基盤とする事業や営利目的の事業は対象外です。団体の管理費（事務所経費など）、汎用事務機器（パソコン等）、および会のメンバーが講師を務める内部講師への謝礼は原則として助成対象外です。助成額は1件（1団体）あたり50万円を上限とします。,,公益財団法人正力厚生会,https://shourikikouseikai.or.jp/works/kanja/,医療 / 福祉,2025-10-08
令和7年度　全都配分（Ａ配分）1/9,,2025-01-09,東京都の区域内に所在し、都民を対象に社会福祉事業を経営する各種社会福祉施設および団体を対象とします。ただし、東京都の区域外に所在する施設を経営する者であっても、主として都民を対象に運営されているものは対象となります。,,社会福祉法人　東京都共同募金会,https://www.tokyo-akaihane.or.jp/a_josei.php#a_haibun,福祉,2025-10-08
,,,,,,,その他,2025-10-08
令和7年度　シニア・福祉・アクセシビリティ関連製品等の販路開拓助成　11/28,,2025-11-28,高齢者や障害者向けの福祉用具、アクティブシニア向け製品・サービス、ユニバーサルデザイン製品・サービス、パラスポーツ製品等の販路開拓を目的とした展示会出展に係る経費の一部を助成します。,,公益財団法人東京都中小企業振興公社,https://www.tokyo-kosha.or.jp/support/josei/jigyo/senior-hanro/index.html,福祉 / スポーツ,2025-10-08
,,,,,,,その他,2025-10-08
,,,,,,,SDGs,2025-10-08
2025年度特定課題「先端技術と共創する新たな人間社会」,2025-09-10,2025-11-28,先端的なデジタル技術を取り巻く社会的諸課題の解決に資するプロジェクトを対象とします。プロジェクト代表者は、日本国内に主たる居住地を有し、日本語で日常的なコミュニケーションが可能な方とします。応募書類は日本語のみを受け付け、助成期間中は財団との密な連携および財団が主/共催するシンポジウム等への参加が求められます。共同研究プロジェクトは2名以上で、代表者の助成開始時年齢が45歳以下である方を、個人研究プロジェクトは助成開始時年齢が40歳以下の方を対象とし、いずれも所属・経歴は問いません。,"助成金総額：
45,000,000円 1件あたりの上限額：
10,000,000円",トヨタ財団,https://www.toyotafound.or.jp/grant/advanced/,テクノロジー / 研究 / SDGs,2025-10-08
第2回「東海演奏家の架け橋基金」公募助成,2025-09-10,2025-10-20,本助成金は、東海4県（愛知・静岡・三重・岐阜）に活動の主たる事務所を置き、活動実績が2年以上である非営利活動・公益事業を行う団体を対象とします。 対象となる団体には、社団法人、財団法人（一般及び公益）、社会福祉法人、特定非営利活動法人等の法人格を有する団体に加え、法人格のない任意団体も含まれます。 なお、事業実施地域は東海4県内に限定されません。,"助成金総額：
15,000,000円 1件あたりの上限額：
3,000,000円",日本フィランソロピック財団,https://np-foundation.or.jp/information/000302.html,芸術文化,2025-10-08
第2回「東海子どもワクワク基金」公募助成,2025-09-09,2025-10-29,非営利活動・公益事業を行う法人格を有する団体を対象とします。営利を目的とした組織、任意団体、および個人活動は対象外とします。日本国内に主たる事務所を置き、活動実績が2年以上である団体を対象とします。,"助成金総額：
15,000,000円 1件あたりの上限額：
3,000,000円",日本フィランソロピック財団,https://np-foundation.or.jp/information/000306.html,子ども / 教育 / 福祉,2025-10-08
がん患者支援活動助成　－希望をともに育むプロジェクト－,,,日本国内で活動する民間の非営利団体を本助成事業の対象とします。法人格は問わず、2年以上の活動実績を有し、前年度の活動報告および会計報告を提出できること、申請する助成活動に複数名で取り組めること、ならびに「助成団体に求められる義務」に同意することが応募条件となります。本助成事業は、一定の活動実績があった上で、その成長・発展を目指す段階にある団体の支援を目的とします。,"助成金総額：
2,500,000円 1件あたりの上限額：
500,000円",日本対がん協会,https://www.gsclub.jp/grant-programp://,医療 / 福祉,2025-10-08
「阪急阪神 未来のゆめ･まち基金」第17回助成プログラム,2025-09-01,2025-10-15,本助成金は、阪急阪神沿線の22市町を主な活動フィールドとし、沿線での活動が全体の半分以上を占めることが望ましい団体、および「地域環境づくり」または「次世代の育成」のいずれか一つ以上の分野で活動実績があり、2026年4月1日現在で団体設立から3年以上経過している団体を対象としています。なお、任意団体が法人格を取得した場合、前身となる任意団体の設立から起算可能です。,"助成金総額：
9,000,000円 1件あたりの上限額：
1,000,000円",阪急阪神 未来のゆめ・まちプロジェクト事務局,https://osakavol.org/news/subsidy/yumemachi2025.html,地域活性 / 環境 / 子ども,2025-10-08
第3回「ダウン症住居と就労環境整備基金」（旧称：ダウン症住まい支援基金）,2025-09-01,2025-10-24,近畿2府4県において、知的障害者向けグループホーム、生活介護事業所、就労継続支援A型作業所、就労継続支援B型作業所などの施設を運営する非営利法人を対象とします。対象となる非営利法人には、一般社団法人・公益社団法人、一般財団法人・公益財団法人、社会福祉法人、特定非営利活動法人などが含まれます。,"助成金総額：
15,000,000円 1件あたりの上限額：
3,000,000円",日本フィランソロピック財団,https://np-foundation.or.jp/information/000304.html,福祉,2025-10-08
2025年度 第2期 東京ライブ・ステージ応援助成,2025-09-03,2025-09-25,この助成金は、申請者の資格要件として、東京都内に所在し3年以上の活動実績がある舞台芸術活動を行う団体を主な対象としています。詳細な要件については、関連URLよりご確認ください。,"助成金総額： 1件あたりの上限額：
1,000,000円",アーツカウンシル東京,https://www.artscouncil-tokyo.jp/grants/tokyo-live-and-stage-support-grant-program/21925/,芸術文化,2025-10-08
Y's×SDGs Youth Action,2025-11-15,2026-02-10,3名以上のユース世代（高校生〜35歳）で構成される任意チームを対象とし、各地のワイズメンズクラブやYMCAスタッフとの協働が可能であり、活動の進捗報告や連絡を適切に行えることを条件とします。,"助成金総額：
2,000,000円 1件あたりの上限額：
200,000円",日本YMCA同盟,https://sites.google.com/japanymca.org/youth-action2022,SDGs / 地域活性 / 教育,2025-10-08
第2回「大分発！ソーシャル・スタートアップ基金」公募助成,2025-09-01,2025-10-27,本助成金は、大分県内に本店または主たる事務所の登記および実在地を有し、定款に応募する事業と関連する目的または事業内容が明示されている法人格を有する団体を対象とします。応募団体は、2025年9月1日現在で設立登記から1年以上5年未満の創業期にあるソーシャルビジネスに取り組んでいる必要があります。,"助成金総額：
10,000,000円 1件あたりの上限額：
3,000,000円",日本フィランソロピック財団,https://np-foundation.or.jp/information/000305.html,地域活性 / SDGs,2025-10-08
塩沼亮潤大阿闍梨基金～ともに寄り添うプラットフォーム～第3回経常助成,2025-08-29,2025-10-03,NPO法人、非営利型一般社団法人、社会福祉法人、公益法人等の非営利組織、または定款（組織規約、運営規定）、事業報告書、決算報告書を作成し提出可能な任意団体を対象とします。事業活動開始が2024年（令和6年）8月以前であり1年以上の通常事業実績を有し、直近年度の経常収入が申請助成金額を上回る団体が対象となります。国、地方自治体、宗教法人、個人、営利を目的とする法人、ネットワークビジネス、マルチ商法、宗教、保険、同業者による勧誘などを目的とする団体、特定の政治・宗教団体、および活動の目的や趣旨が政治、宗教、思想、営利などに偏る団体は対象外です。,"助成金総額：
3,000,000円 1件あたりの上限額：
500,000円",パブリックリソース財団,https://www.public.or.jp/project/f0168,福祉,2025-10-08
2026年度　エフピコ環境基金　能登半島特別枠,2025-10-01,2025-12-15,法人格の有無を問わず、日本国内に拠点を有し、活動実績が1年以上である団体を対象としています。,"助成金総額： 1件あたりの上限額：
1,000,000円",エフピコ,https://www.fpco.jp/esg/environmenteffort/environmentalfund/environmentalfund_noto_recruitment.html,環境 / 災害支援 / 地域活性,2025-10-08
2026年度　エフピコ環境基金,2025-10-01,2025-12-15,地域限定の要件、設立からの年数に関する要件、日本国内に拠点を有し、1年以上の活動実績を有する団体を対象とします。,"助成金総額： 1件あたりの上限額：
2,000,000円",エフピコ,https://www.fpco.jp/esg/environmenteffort/environmentalfund.html,環境,2025-10-08
「暮らしの向上」に通じる情報技術等の研究に関する研究開発,2025-09-01,2025-11-30,日本の大学・高等専門学校・研究所等に勤務し、主体的に研究を進める常勤の研究者、大学院後期課程在籍者、及び博士研究員を対象とします。対象者は所属機関長の承認を得るとともに、本財団へ研究成果および収支報告書を提出できることを条件とします。,"助成金総額：
10,000,000円 1件あたりの上限額：
2,000,000円",カインズデジタルイノベーション財団,https://cainz-dif.or.jp/grant/2025/,研究 / テクノロジー / 教育,2025-10-08
2025年度 第2回 スタートアップ助成,2025-08-25,2025-09-25,本助成金は、申請分野において都内で公開活動を主催する個人および団体を対象とします。個人の場合、都内で初めて公開活動を主催してから3年未満であり、かつ都内で主催した公開活動の実績が5回以内であることが条件です。また、団体の場合、過去3年間に申請団体として申請分野での公開活動実績が1回以上あり、団体設立から3年未満であることが条件です。その他詳細な要件は、関連URLにてご確認ください。,"助成金総額： 1件あたりの上限額：
1,000,000円",アーツカウンシル東京,https://www.artscouncil-tokyo.jp/grants/startup-grant-program/20963/,その他,2025-10-08
お金をまわそう基金助成事業（第10期2回目）,2025-08-25,2025-09-30,本助成金は、法人格を持つ非営利団体を対象としています。原則として、1年以上の活動実績があり、最初の決算を迎えており、監査報告書を含む直近の決算書類と事業完了報告書が提出できる団体が対象となります。詳細は募集要項をご確認ください。,"助成金総額： 1件あたりの上限額：
なし",お金をまわそう基金,http://okane-kikin.org/,その他,2025-10-08
2025年度 第2期 芸術文化魅力創出助成,2025-08-19,2025-09-24,本助成金は、本部事務所や本店所在地が東京都内にあり、かつ事業実施場所が東京都内（オンライン公開を含む）である申請者（団体）を対象とします。,"助成金総額： 1件あたりの上限額：
20,000,000円",アーツカウンシル東京,https://www.artscouncil-tokyo.jp/grants/grant-for-artistic-city/21255/,芸術文化,2025-10-08
シンボリキミエ基金　～動物愛護活動助成～,2025-08-18,2025-10-31,動物保護・福祉活動について1年以上の実績があり、営利を目的としない事業を行い、活動をホームページやSNSで公表している団体を対象とします。法人格の有無は問いませんが、助成金の受給には団体名義の口座が必要です。株式会社、有限会社、および趣旨や活動が政治、宗教、思想、営利などの目的に偏る団体は対象外です。,"助成金総額：
2,000,000円 1件あたりの上限額：
200,000円",公益推進協会,https://kosuikyo.com/%e5%8a%a9%e6%88%90%e9%87%91-2,福祉 / 環境,2025-10-08
第1回「日本ソーシャル・スタートアップAWARD」,2025-08-12,2025-09-30,日本国内に活動の主となる事務所を有し、設立10年未満の法人を対象とします。,"助成金総額：
16,000,000円 1件あたりの上限額：
4,000,000円",日本フィランソロピック財団,https://np-foundation.or.jp/information/000300.html,SDGs / 福祉 / 地域活性,2025-10-08
草の根市民基金・ぐらん,2025-09-29,,主な活動地域が東京都内またはアジアである非営利の市民団体を対象とします。,"助成金総額：
3,500,000円 1件あたりの上限額：
500,000円",草の根市民基金・ぐらん運営委員会,https://citizensfund-grand.org/,地域活性 / 国際協力 / SDGs,2025-10-08
第1回「ビヨンド賞～精神障害ともにある～」,2025-08-06,2025-09-24,日本国内に活動の主となる事務所を有し、活動実績が5年以上の団体・法人を対象とします。,"助成金総額：
10,000,000円 1件あたりの上限額：
1,000,000円",日本フィランソロピック財団,https://np-foundation.or.jp/information/000299.html,福祉 / 医療 / SDGs,2025-10-08
第27回2025(令和7)年度社会貢献基金,2025-10-01,2026-01-31,本助成金は、財団法人、社団法人、社会福祉法人、NPO法人、その他任意団体、市民ボランティアグループを含む非営利組織を対象とします。個人資格での申請は対象外です。助成対象となる団体は、定款に準ずる規約および会計機能を有し、日本国内に主たる事務所を置き、団体として意思決定し活動を執行する体制が確立している必要があります。また、申請する活動または類似する活動について3年以上の実績があり、高いニーズと継続性が見込まれるとともに、他の民間団体からの助成を除く自己資金を保有し、かつ今回募集する助成対象事業の趣旨に合致する事業を行う団体を対象とします。,"助成金総額：
10,000,000円 1件あたりの上限額：
2,000,000円",全日本冠婚葬祭互助協会,http://www.zengokyo.or.jp/social/fund/,その他,2025-10-08
全互協奨学金基金（2026年度募集）,2025-08-15,2025-10-15,2026年4月2日現在24歳以下で、保護者が死亡し、経済的な支援を必要とする者のうち、2026年4月に大学（4年制）・短期大学・専門学校への入学を希望する者を本助成金の対象とします。対象者には、2026年3月に高等学校卒業見込みの者、既に高等学校を卒業した者、および高等学校卒業程度認定試験合格者（見込みを含む）が含まれます。ただし、高等専門学校、通信教育課程、放送大学、専門学校の高等課程・一般課程・付帯教育、各種学校、省庁大学校、大学院等は対象外とし、助成期間は最長で4年制課程までとします。,"助成金総額：
3,000,000円 1件あたりの上限額：
600,000円",全日本冠婚葬祭互助協会,http://www.zengokyo.or.jp/social/scholarship/,教育 / 福祉 / 子ども,2025-10-08
2026年度　広域安全事業助成,2025-08-01,2025-10-31,この助成金は、一つの団体が広域安全事業と県域安全事業の双方に応募することを制限しています。助成対象外となるのは、事業の全部または大部分を他の団体等に請け負わせて実施する事業、全国規模の団体が当財団の助成金を傘下団体への助成資金に充当する事業です。さらに、他の団体等から委託、補助、助成等の資金を受ける事業（ただし、他の団体等からの資金と当財団の助成金の充当範囲が明確に区分できる事業を除きます）、交通安全対策に関する事業、学会等のシンポジウム事業、営利を目的とした事業も対象外とします。,"助成金総額： 1件あたりの上限額：
2,000,000円",日工組社会安全研究財団,https://www.syaanken.or.jp/?p=14196,地域活性 / 災害支援,2025-10-08
E&Hサポート基金 ～桜川市農業支援助成～,,,本助成金は、桜川市での新規就農を希望する者を受け入れる茨城県内の認定農業者に対し、短期研修（2日以上1年以内）の宿泊費を支援します。また、茨城県桜川市における新規就農を志向する研修者を受け入れる桜川市内の認定農業者に対しては、期間を問わない研修に関する環境整備費を支援します。いずれの支援においても、対象となる研修は申請日から1年以内に初日を迎える、または申請日時点で実施中で申請日以降に最終日を迎える実習を含む活動に限られ、座学や見学のみ、レジャー的な農業体験は対象外です。,"助成金総額：
5,000,000円 1件あたりの上限額：
800,000円",公益推進協会,http://kosuikyo.com/,地域活性 / 教育,2025-10-08
2026年度　アジア生協協力基金,2025-08-01,2025-10-31,本助成金は、原則として日本国内に拠点を持つNPO、NGO、一般社団法人、一般財団法人、市民グループなどの非営利組織を対象とします。これらの組織は、政治・宗教を目的とせず反社会的な活動を行わないこと、原則として1事業年度の収入が1億円未満であること、そして活動開始から2事業年度を超える実績を有することが条件となります。さらに、申請事業を実施する現地に協力組織（カウンターパート）を持つことが求められますが、申請組織の海外支部や現地事務所、申請組織の役員や職員が現地で役員を務める組織はカウンターパートとして認められず、継続申請を除き過去2事業年度以内（2024年度、2025年度）に本基金からの助成を受けていない組織が対象となります。,"助成金総額：
7,000,000円 1件あたりの上限額：
1,000,000円",生協総合研究所,https://ccij.jp/jyosei/kikinkoubo250710_01.html,国際協力,2025-10-08
2025年度　障害者支援団体への助成のご案内,2025-08-01,2025-09-25,障がい者支援を行う社会福祉法人、公益法人、NPO法人等の非営利の民間団体を対象とします。これらの団体は、3年以上の継続した活動実績を有し、かつ活動を実施する施設が茨城、栃木、群馬、埼玉、千葉、東京、神奈川、新潟、山梨、長野、静岡の一都十県に所在していることを要します。,"助成金総額：
6,000,000円 1件あたりの上限額：
300,000円",タチバナ財団,https://www.t-group.co.jp/zaidan/,福祉,2025-10-08
第2回「社会的養護下の子ども応援基金」,2025-07-22,2025-09-10,日本国内に活動の主たる事務所を有し、2年以上の活動実績がある、非営利活動・公益事業を行う団体（一般社団法人、公益社団法人、一般財団法人、公益財団法人、特定非営利活動法人、社会福祉法人、および法人格のない任意団体を含む）を対象とします。,"助成金総額：
10,000,000円 1件あたりの上限額：
4,000,000円",日本フィランソロピック財団,https://np-foundation.or.jp/information/000289.html,子ども / 福祉 / 教育,2025-10-08
大規模災害発生時における防犯活動緊急支援助成,,,大規模災害発生時の防犯活動を実施可能で、事業担当者や会計責任者等を置いている団体を助成対象とします。具体的には、公益社団法人、公益財団法人、一般社団法人、一般財団法人、特定非営利活動法人、および法人格を持たずとも助成対象事業を実施するための体制があると当財団が認める団体を対象とします。,"助成金総額： 1件あたりの上限額：
1,000,000円",日工組社会安全研究財団,https://www.syaanken.or.jp/?p=10623,災害支援 / 地域活性,2025-10-08
ソーシャル・ジャスティス基金（SJF）助成公募第14回,2025-09-01,2025-09-18,公募テーマに即し、「不公正の是正」または「市民社会の形成」を目的とする団体・法人（法人格不問）および個人の事業を対象としています。当該事業には、SJFアドボカシーカフェの共催による多様な市民との対話、SJF助成発表フォーラムへの参加、ならびに中間期および助成活動終了後の報告が求められます。,"助成金総額：
4,000,000円 1件あたりの上限額：
1,000,000円",まちぽっと,https://socialjustice.jp/p/2025fund/,SDGs / 福祉 / 地域活性,2025-10-08
がん患者団体助成(2025 年度募集・2026 年度助成）,2025-05-08,2025-10-17,指定された原文が提供されていないため、書き換えの処理を実行できません。,"助成金総額： 1件あたりの上限額：
500,000円",正力厚生会,https://shourikikouseikai.or.jp/,医療 / 福祉,2025-10-08
パタゴニア環境助成金プログラム,,,国際助成は、日本支社を含む非営利組織（諸条件を満たす任意団体を含む）がアメリカ合衆国以外で実施するプロジェクトを対象とします。この助成はプロジェクト型の申請に限定され、プロパガンダや特定の法律制定に影響を及ぼすことを意図したロビー活動を目的とするプロジェクトは対象外です。また、組織の通常管理運営費や人件費、および建物、土地、車両、ボート等の購入、修理、改造、改築費用には、助成金を充当できません。,"助成金総額： 1件あたりの上限額：
3,000,000円",パタゴニア・インターナショナルインク 日本支社,http://www.patagonia.jp/how-we-fund/,環境 / 国際協力 / SDGs,2025-10-08
住民寄り添い型伴走支援の社会資源開発モデル事業,2025-04-01,2026-03-20,原則として、子育て支援の経歴が3年以上の非営利民間団体を対象とします。地域に孤立したストレスの高い家庭の存在を認識し、それに対応する意欲を持つ団体で、住民寄り添い型伴走支援（ホームスタート）事業の導入と継続に関する意思決定と体制が確認されていることが求められます。また、訪問事業にオーガナイザーとして関わることができ、子育て支援経験3年以上の信頼の厚い人材を擁している必要があります。,"助成金総額： 1件あたりの上限額：
400,000円",ホームスタート・ジャパン,https://www.homestartjapan.org/news/2025shinkijosei.html,子ども / 福祉 / 地域活性,2025-10-08
2025年度 東京芸術文化鑑賞サポート助成,,,助成対象事業は東京都内で実施されることを要件とし、申請団体は東京芸術文化相談サポートセンター「アートノト」が実施するアクセシビリティ講座2024「鑑賞サポート入門」（動画）を受講した団体等を対象とします。詳細な要件はガイドラインにてご確認ください。,"助成金総額： 1件あたりの上限額：
3,000,000円",アーツカウンシル東京,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/grants/grant-for-accessibility/74248/,芸術文化 / 福祉,2025-10-08
