title,start_date,deadline_date,summary,amount,fund_name,source_url,category,fetched_at
2025年度 ちゅうでん教育振興助成（高等専門学校の部）,2025-04-01,2025-11-25,全国の高等専門学校（国立および公立・私立を含む）の教職員個人、または教職員グループを対象とします。,"助成金総額： 1件あたりの上限額：
1,000,000円",ちゅうでん教育振興財団,https://www.chuden-edu.or.jp/oubo/oubo1/oubo2.html,教育 / 研究 / テクノロジー,2025-10-08
2025年度 災害時等における救援活動支援助成,,,本助成金は、法人格を有し被災地で救援活動を実施する団体のうち、日本学術会議協力学術研究団体または職能団体、あるいはこれらの団体と連携した活動を行う団体を対象とします。申請は1団体につき1回限りです。,"助成金総額：
3,000,000円 1件あたりの上限額：
1,000,000円",ニッポンハム食の未来財団,https://www.miraizaidan.or.jp/general_public/relief_grants/2025/01.html,災害支援 / 福祉,2025-10-08
お金をまわそう基金助成事業（第9期2回目）,2024-08-30,2024-09-30,法人格を持つ非営利団体が実施する非営利活動および公益事業を対象としています。申請団体は一度以上の決算を行っていること、また、一般社団法人においては監事の設置および理事会の開催を行っていることが要件です。所定の必要書類を提出できることが求められます。,"助成金総額： 1件あたりの上限額：
なし",お金をまわそう基金,http://https://okane-kikin.org/,その他,2025-10-08
「臼井伸二未来へつなぐ基金 ～児童養護施設等出身者の住居確保支援～」,,,本プログラムは、横須賀市または藤沢市に所在する児童養護施設等を退所済みの者、または3ヶ月以内に退所を予定する者のうち、進学・就職・離職等により住居確保が困難な27歳以下の若者を対象としています。施設の施設長等の推薦を受け、新規に住宅を賃借し、応募者本人が住居費を支払う場合に限り対象となり、原則として賃貸契約締結前または契約後2ヶ月以内に限定します。一時保護委託の場合は対象外です。,"助成金総額： 1件あたりの上限額：
250,000円",日本フィランソロピック財団,https://np-foundation.or.jp/information/000200.html,福祉 / 子ども,2025-10-08
【NPO必見】IT導入補助金の活用で寄付決済システム利用料の最大1/2が補助,2024-06-19,2025-01-02,法人設立から1年以上経過し、コングラント有料プランに未契約である団体を対象とします。フリープラン利用団体も対象に含まれます。,"助成金総額： 1件あたりの上限額：
696,000円",コングラント株式会社,https://congrant.com/jp/news/20240306.html,テクノロジー / SDGs,2025-10-08
平成28年度スマートウェルネス拠点整備事業の募集,,,拠点施設の整備者（建築主）も対象としています。,"助成金総額： 1件あたりの上限額：
10,000,000円",国交省,https://www.mlit.go.jp/report/press/house07_hh_000151.html,医療 / 福祉 / 地域活性,2025-10-08
「発達障がい」とともに生きる豊かな地域応援助成,2025-10-13,,営利を目的とする事業は審査の対象外となります。,"助成金総額：
10,000,000円 1件あたりの上限額：
1,000,000円",朝日新聞厚生文化事業団,https://www.asahi-welfare.or.jp/archives/14976981,福祉 / 地域活性,2025-10-08
多文化共生地域ネットワーク支援事業　事業助成,,,NPO（法人格の有無を問わない非営利団体）、ボランティアグループ、個人を対象とします。「かめのり多文化共生塾 2023」の全日程と2024年2月の「ネットワーク会議」に参加できること、および同塾の期間中に2024年4月からの事業計画を企画・立案できることを要件とします。,"助成金総額：
6,000,000円 1件あたりの上限額：
500,000円",公益財団法人 かめのり財団,https://www.kamenori.jp/wp-kamenori/wp-content/uploads/2023/08/KamenoriNetwork2023.pdf,地域活性 / 教育 / 福祉,2025-10-08
お金をまわそう基金助成事業（第８期3回目）,2025-09-15,,法人格を持つ非営利団体が実施する非営利活動および公益事業を対象とします。対象団体は一度以上の決算実績があり、所定の必要書類の提出が可能であることが条件です。なお、一般社団法人の場合は、監事の設置および理事会の開催を要します。,"助成金総額： 1件あたりの上限額：
なし",お金をまわそう基金,https://okane-kikin.org/information/7488,その他,2025-10-08
2023年度　アジアの農村指導者育成事業助成,,,書き換え対象の原文が提供されていません。,"助成金総額：
3,000,000円 1件あたりの上限額：
3,000,000円",アジア農村交流協会,https://fields.canpan.info/grant/detail/1607,国際協力 / 教育 / 地域活性,2025-10-08
1型糖尿病 患者・家族会設立助成金 随時募集のお知らせ,,,1型糖尿病の患者またはその家族を支援する団体を設立する者を対象とします。この団体は、日本国内で継続的な活動を行い、役員および会員を含む5人以上で構成され、会の運営等、団体としての主要な点を定めた会則を有している必要があります。,"助成金総額： 1件あたりの上限額：
20,000円",日本IDDMネットワーク,https://japan-iddm.net/life-info/make-a-friend/subsidy-for-patient-and-family/,医療 / 福祉,2025-10-08
1型糖尿病の根絶を目指す研究課題 随時募集のお知らせ,,,支援金額は概ね1000万円以上を想定しており、最長2025年までの支援期間中、各年の更新手続きと成果に応じた増額が可能です。支援金の使途は特に限定しませんが、当該研究を実施する研究機関における事務部門等の間接経費には原則として使用できません。研究者または団体の自己負担率の定めはありません。,"助成金総額： 1件あたりの上限額：
なし",日本IDDMネットワーク,https://japan-iddm.net/researchers-medical-personne/grant_guideline/,医療 / 研究,2025-10-08
多文化共生地域ネットワーク支援事業　事業助成,,,NPO法人格の有無を問わない非営利団体、ボランティアグループ、個人を対象としています。応募者は、「かめのり多文化共生塾 2022」の全日程および2023年3月の「ネットワーク会議」への参加が可能であり、かつ「かめのり多文化共生塾 2022」の期間中に活動プランを企画・立案できる必要があります。,"助成金総額：
6,000,000円 1件あたりの上限額：
500,000円",公益財団法人 かめのり財団,https://www.kamenori.jp/pdf/2022jyosei/2022tabunkajigyo.pdf,地域活性 / SDGs / 国際協力,2025-10-08
2020年度 「みてね基金」助成 第二期,2021-01-07,,営利団体は対象外としています。詳細については募集要項をご参照ください。,"助成金総額： 1件あたりの上限額：
100,000,000円",ETIC.,https://fund.mitene.us/menu/89002,その他,2025-10-08
令和2年度森林・山村多面的機能発揮対策交付金（東京都・埼玉県・神奈川県）,2025-07-31,2025-11-30,整備する森林と同じ都県に事務所を置く、構成員3名以上の組織が、森林経営計画が作成されていない森林を整備する活動を対象とします。,"助成金総額： 1件あたりの上限額：
5,000,000円",財団法人都市農山漁村活性化機構,https://www.kouryu.or.jp/information/satoyama20200708.html,環境 / 地域活性 / SDGs,2025-10-08
現代演劇・舞踏対象公募プログラム2020,2025-09-19,,なし,"助成金総額： 1件あたりの上限額：
なし",（公財）セゾン文化財団,http://www.saison.or.jp/application/01b.html,芸術文化,2025-10-08
助成認定制度,2025-01-20,,公益目的で芸術・文化活動を行う法人、規約と代表者の定めがある公益目的の任意団体、および活動の公益性が認められる芸術・文化活動を行う個人を対象とします。ただし、株式会社、有限会社、合名会社、合資会社といった営利法人、宗教法人、政治団体は対象外です。原則として公益財団法人および公益社団法人も対象となりません。,"助成金総額： 1件あたりの上限額：
なし",（公社）企業メセナ協議会,https://culfun.mecenat.or.jp/collect/grant/point.html,芸術文化,2025-10-08
2021 芸術・文化による社会創造ファンド,2025-01-20,,本助成金の詳細な対象や内容は、「内容／対象」欄に記載されています。,"助成金総額： 1件あたりの上限額：
なし",（公社）企業メセナ協議会,https://culfun.mecenat.or.jp/collect/2021artsfund/point.html,芸術文化,2025-10-08
令和元年度「クラウドファンディング型まちづくりファンド」に係る募集,,,この助成金は、地方公共団体が設置する基金、公益法人（公益財団法人または公益社団法人）、公益信託、市町村長が指定するNPO等の非営利法人、指定まちづくり会社、復興まちづくり会社を対象とします。なお、MINTO機構からの資金拠出時にはファンド組成が必要ですが、応募時点ではファンド組成予定で差し支えありません。,"助成金総額： 1件あたりの上限額：
100,000,000円",（一財）民間都市開発推進機構,http://www.minto.or.jp/products/fund_rec.html,地域活性,2025-10-08
平成31年度施設整備等助成,,,社会福祉法人、社会福祉事業を行う公益財団法人、公益社団法人等、および社会福祉事業を行う特定非営利活動（NPO）法人を対象とします。なお、特定非営利活動（NPO）法人は所在地の社会福祉協議会の推薦を受ける必要があります。,"助成金総額： 1件あたりの上限額：
なし",（公財）中央競馬馬主社会福祉財団,http://www.jra-umanushi-hukushi.or.jp/31-jyosei-2,福祉,2025-10-08
FunD（ファンド）福島の子ども支援プログラム,,,本助成金の対象は、設立からの年数に関する条件、その他「内容／対象」の項目に記載される詳細によって定められます。,"助成金総額： 1件あたりの上限額：
2,000,000円",（株）ラッシュジャパン （LUSH）,https://jn.lush.com/article/fundhuandoji-fu-zhu-cheng-jin-shen-qing-nituite,子ども / 福祉 / 地域活性,2025-10-08
LUSHチャリティバンク,,,設立からの年数に加え、小規模な草の根活動を行い、他の企業や助成団体からの助成金や寄付が集まりにくい団体を対象とします。また、社会をより良いものへ変革するため問題の根本を見極め、その解決に取り組む努力をしている団体、波及効果のあるプロジェクトを行う団体、および非暴力で直接的なアクションを行う団体も対象とします。,"助成金総額： 1件あたりの上限額：
2,000,000円",（株）ラッシュジャパン （LUSH）,https://jn.lush.com/article/a-bit-about-our-charity-pot,SDGs / 環境 / 福祉,2025-10-08
助成金（福祉、医療、教育、芸術）,,,本助成金は、2年以上の活動実績を有する非営利法人および慈善団体を対象とします。個人および営利法人は対象外です。人件費、交通費等の一般管理費、講師に対する謝礼金等は助成対象外です。,"助成金総額： 1件あたりの上限額：
なし",（一社）日本メイスン財団,http://www.masonicfoundation.or.jp/guidance.html,福祉 / 医療 / 教育,2025-10-08
災害により被災された助成先の団体に対する助成,,,過去に日本財団の助成金により、施設、車両または機器を整備した団体を対象とします。,"助成金総額： 1件あたりの上限額：
2,000,000円",日本財団,https://www.nippon-foundation.or.jp/what/grant_application/programs/affected_organization/,災害支援,2025-10-08
平成30年7月豪雨の被災地に対する支援,,,法人格の有無を問わず、特定非営利活動法人（NPO法人）、財団法人・社団法人、社会福祉法人、特別の法律に基づいて設立された法人などを対象としています。,"助成金総額： 1件あたりの上限額：
なし",（公財）JKA,http://hojo.keirin-autorace.or.jp/news/2018/0709_01/,災害支援 / 地域活性 / 福祉,2025-10-08
平成30年7月豪雨災害におけるボランティア活動への支援,2025-07-20,,平成30年7月豪雨の被災地（九州を含む西日本各地）において、家屋及び公共施設被害を中心としたボランティア活動を行う九州内の団体グループを対象とする。この団体グループは、法人格の有無を問わずNPO法人や市民団体等を含むが、社団法人や財団法人等は対象外とする。,"助成金総額： 1件あたりの上限額：
200,000円",（一社）九州地域づくり協会,http://www.qscpua.or.jp/event/H3007gouu/index.html,災害支援 / 地域活性 / 福祉,2025-10-08
大竹財団助成金,,,日本国内に事務所または連絡先を持ち、公益や社会問題の解決に取り組む事業を行うNPO、任意の市民団体、ボランティアグループを対象とします。,"助成金総額： 1件あたりの上限額：
500,000円",一般財団法人大竹財団,https://ohdake-foundation.org/%E5%A4%A7%E7%AB%B9%E8%B2%A1%E5%9B%A3%E5%8A%A9%E6%88%90%E9%87%91/,SDGs / 地域活性 / 福祉,2025-10-08
食品ロス削減全国運動　活動助成,,,地域社会の活性化、環境保護、福祉の向上、文化芸術の振興に資する社会貢献活動に取り組む非営利団体および個人を対象としています。本助成金は、これらの活動の実現と発展を促進することを目的としており、活動にかかる費用の一部を助成します。,"助成金総額： 1件あたりの上限額：
30,000円",公益財団法人あしたの日本を創る協会,http://www.ashita.or.jp/foodloss.htm,環境 / 地域活性 / 福祉,2025-10-08
ライフキッズスポーツクラブ,,,ライフキッズスポーツクラブへの助成を希望する団体は、団体内に「財団公認キッズスポーツインストラクターセミナー」に参加し、資格を取得した者が2名以上いることを条件とします。,"助成金総額： 1件あたりの上限額：
400,000円",公益財団法人ライフスポーツ財団,http://www.lsf.or.jp/sports3,子ども / スポーツ / 教育,2025-10-08
財団推進事業,,,本助成は、財団の活動理念に基づき幼児（乳児を含む）とその親を対象とした親子スポーツ活動を実践する団体、財団公認インストラクターが組織する団体、その他財団が認める団体を対象としています。いずれの団体も、市町村教育委員会または市町村体育協会の推薦を受けられることが望ましい。,"助成金総額： 1件あたりの上限額：
500,000円",（公財）ライフスポーツ財団,http://www.lsf.or.jp/josei,スポーツ / 子ども / 教育,2025-10-08
イーパーツ寄贈プログラム,,,なし,"助成金総額： 1件あたりの上限額：
なし",（特）イーパーツ,http://www.eparts-jp.org/program/index.html,教育 / 福祉 / 地域活性,2025-10-08
ユースアクション東北,2015-05-07,2017-03-31,本助成金は、岩手県、宮城県、福島県に居住し、かつ2人以上で構成されるチームを対象とします。チームメンバー全員が、原則として高校生を中心とする若者（中学生、高専生、専門学生、大学生を含む）であることが条件です。,"助成金総額： 1件あたりの上限額：
300,000円",（公財）東日本大震災復興支援財団,http://minnade-ganbaro.jp/katsudou/project/youthaction/summary_01.html,地域活性 / 教育,2025-10-08
平成28年度 「創業・第二創業促進補助金」（熊本地震関連）,,,その他の詳細については募集要項に記載されています。,"助成金総額： 1件あたりの上限額：
2,000,000円",中小企業庁,http://sogyo-hojo-28.jp/,災害支援 / 地域活性,2025-10-08
カワサポ,,,なし,"助成金総額： 1件あたりの上限額：
なし",ClearWaterProject,https://www.kawa-supporters.net/,地域活性,2025-10-08
次世代の障害当事者リーダー育成のために三澤了基金,,,なし,"助成金総額： 1件あたりの上限額：
なし",三澤了基金運営事務局／NPO法人DPI日本会議,http://dpi.cocolog-nifty.com/vooo/2014/10/post-0c17.html,福祉 / 教育,2025-10-08
【2015年8月末〆切】最大5000万まで可能　西武ソーシャルビジネス成長応援融資「CHANGE」第8期募集,,,西武信用金庫の営業地区内で事業を営む法人および個人事業主を対象とします。主たる事業が福祉、教育、環境、まちづくりなどの社会貢献性の高い分野であり、かつ応募条件確認リスト、所定の書式による事業計画書、および原則直近3期分の財務諸表の提出が可能であることが申請の要件です。,"助成金総額： 1件あたりの上限額：
50,000,000円",ETIC.,http://wagamachi.jp.net/change/index.html,福祉 / 教育 / 環境,2025-10-08
JapanGiving（クラウドファンディング）,,,非営利団体であり、Web上での財務報告を実施し、金融機関に団体独立口座を保有する団体を審査対象とします。,"助成金総額： 1件あたりの上限額：
なし",JapanGiving,http://japangiving.jp/,SDGs,2025-10-08
第29回人間力大賞エントリー募集,,,国内外において、科学技術、医療、福祉、文化芸術、国際交流、国際協力、環境、スポーツ、教育、まちづくり等の分野で積極果敢に活動を実践する、20歳から40歳（1975年～1995年生まれ）の人間力あふれる若者を本助成金の対象とします。国や地域を愛する思いを持ち、社会への貢献度、影響度、独自性、将来性が顕著であり、優れた活動実績を有する者を支援します。,"助成金総額： 1件あたりの上限額：
なし",高松青年会議所,https://www.ningenryokutaisyo.com/,SDGs / 地域活性 / 国際協力,2025-10-08
平成27年度施設整備等助成事業,,,地域限定の助成対象団体は、社会福祉法人、公益財団法人、公益社団法人、社会福祉事業を行う民法特例法人、および社会福祉事業を行う特定非営利活動法人です。ただし、特定非営利活動法人については、所在地の社会福祉協議会の推薦を必要とします。,"助成金総額： 1件あたりの上限額：
1,000,000円",（公財）中央競馬馬主社会福祉財団,http://www.jra-umanushi-hukushi.or.jp/27-jyosei,福祉 / 地域活性,2025-10-08
アウトドア自然保護基金プログラム,2025-05-15,,原文が指定されていないため、処理を実行できません。,"助成金総額： 1件あたりの上限額：
500,000円",コンサーベーション・アライアンス・ジャパン,http://ca-j.org/grants.html,環境 / SDGs,2025-10-08
【NPO法人・社団法人も利用できる融資制度】女性・若者・シニア創業サポート事業,,,東京都内に本店または主たる事業所を置き、地域の需要や雇用を支える創業事業を対象としています。この助成金は、代表者が女性、39歳以下の若者、または55歳以上のシニアであり、かつ創業計画中の者または創業後1年未満である個人事業主、株式会社、NPO法人、一般社団法人、一般財団法人を対象としています。,"助成金総額： 1件あたりの上限額：
10,000,000円",コミュニティビジネスサポートセンター,http://cb-s.net/tokyosupport/,地域活性 / ジェンダー / SDGs,2025-10-08
その他の助成制度データベース（参考情報）,,,なし,"助成金総額： 1件あたりの上限額：
なし",CANPAN調べ,https://fields.canpan.info/grant/detail/409,その他,2025-10-08
２０１３年度　オレンジマフラー　１０００本助成,,,なし,"助成金総額： 1件あたりの上限額：
なし",ラン・フォー・ピース協会,http://www.run-walk.me/,福祉,2025-10-08
きょうとNPO支援連携融資制度,,,京都府内に事務所を有し、同府内で公益活動を行うNPO法人を対象とします。公益活動ポータルサイト「きょうえん」ステップ２認証を取得していること、または融資審査申込時に取得できることを条件とします。,"助成金総額： 1件あたりの上限額：
5,000,000円",京都地域創造基金,http://www.plus-social.com/cn8/kyoto_yushi.html,地域活性 / 福祉 / SDGs,2025-10-08
FAAVO（クラウドファンディング）,,,本助成金は、対象・目的・概要に関する情報が提供されていません。,"助成金総額： 1件あたりの上限額：
なし",FAAVO（ファーボ）,https://faavo.jp/,その他,2025-10-08
motion gallery（クラウドファンディング）,,,なし,"助成金総額： 1件あたりの上限額：
なし",motion gallery（モーション・ギャラリー）,http://motion-gallery.net/,芸術文化,2025-10-08
CAMPFIRE（クラウドファンディング）,,,本助成金・補助金は、対象・目的・概要に関する情報が現在設定されていません。,"助成金総額： 1件あたりの上限額：
なし",CAMPFIRE（キャンプファイア）,http://camp-fire.jp/,その他,2025-10-08
令和8年度「キリン・地域のちから応援事業」公募助成　10/31,2025-09-11,2025-11-01,年齢、国籍、障害の有無に関わらず、誰もが地域の一員として共に支え合う共生社会の実現を目指し、地域における福祉向上に資する幅広いボランティア活動を行う団体を助成対象としています。この助成金は、自発的・自主的・利他的に行われる無償の活動のうち、子ども・子育て世代、シルバー世代、障害や困りごとを抱える人およびそれらを支える人の福祉向上に資する活動、ならびに地域活性化、新たなつながりの創出、共生社会の構築、災害復興、防災、公衆衛生に関する活動に適用されます。,,公益財団法人 キリン福祉財団,https://foundation.kirinholdings.com/subsidy/r8/index.html,福祉 / 地域活性 / 子ども,2025-10-08
令和8年度「キリン・福祉のちから開拓事業」公募助成　10/31,2025-09-11,2025-10-31,障害者福祉、高齢者福祉、児童・青少年健全育成、地域社会福祉の各分野において、自発的、自主的、利他的な無償のボランティア活動を、長期的な視点に立って全国や広域にまたがり実施または計画している団体を助成対象とします。助成対象となる事業は、社会課題・問題の直接的な解決を目指す取り組み、啓発活動、政策提言やアドボカシー、ネットワークの構築・拡大、組織強化、人材育成、技術・技法の研究、実践のための調査研究、モデル化、生活環境の保全・保護活動などです。,,公益財団法人 キリン福祉財団,https://foundation.kirinholdings.com/subsidy/r8/fukushi.html,福祉 / 子ども / 地域活性,2025-10-08
COSMOエコ基金　プロジェクトの公募　11/9,,2025-11-09,COSMOエコ基金の中長期ビジョンの実現に資する、脱炭素志向の開かれた地域循環社会づくり、森林・生態系等の自然環境保全活動、再生可能エネルギーの普及啓発等に取り組むプロジェクトを対象とし、特に次世代人材育成や地域とのパートナーシップにつながる活動を重視します。対象地域は国内および海外とし、海外プロジェクトの場合は日本国内に窓口があり日本語で連絡が取れること、かつ現地安全状況等を鑑みてモニタリングが可能な国・地域にプロジェクトサイトがあることを優先します。特定非営利活動法人、一般社団法人、公益社団法人、一般財団法人、公益財団法人、組織を備えた任意団体など、民間で非営利活動を行う団体が助成対象となります。,,コスモエネルギーホールディングス株式会社,https://www.cosmo-energy.co.jp/ja/information/topics/2025/250916-02.html,環境 / 地域活性 / SDGs,2025-10-08
2026年度日本郵便年賀寄付金配分　11/7,2025-09-10,2025-11-07,本助成金は、申請法人の定款または寄付行為に基づき行われる事業のうち、お年玉付郵便葉書等に関する法律に規定される社会福祉の増進、非常災害時の被災者の救助・災害の予防、がん・結核・小児まひその他特殊な疾病の予防、原子爆弾の被爆者の治療その他の援助、交通事故・水難の救助・防止、文化財の保護、青少年健全育成のための社会教育、健康の保持増進を図るスポーツ振興、海外の地域からの留学生・研修生の援護、地球環境の保全のいずれかに該当する事業を対象とします。事業の実施場所は日本国内に限定され、海外での実施は対象外ですが、海外活動を行う団体が国内で行う啓発事業などは国内事業として対象に含みます。,,日本郵便,https://www.post.japanpost.jp/kifu/nenga/applications.html,SDGs / 福祉 / 災害支援,2025-10-08
2026年度 金融相談等活動助成,2025-10-01,2025-11-28,本助成金では、1活動あたり12万円を上限とします。1活動が複数のイベントで構成される場合は、1イベントあたり12万円を上限とし、助成総額は60万円を上限とします。申請された金額やイベント数は、減額または減少して助成対象となることがあります。助成対象経費は、活動を実施するために直接必要となる経費に限ります。,"助成金総額：
13,000,000円 1件あたりの上限額：
600,000円",ゆうちょ財団,https://www.yu-cho-f.jp/lecture/consultation/kyotoku.html,福祉,2025-10-08
2026年度　【一般部門】 農林水産業における革新的・先進的技術に関する研究,2025-10-01,2026-01-15,日本の大学・高等専門学校・研究所等に勤務し、主体的に研究を進める常勤の研究者で、所属機関長等の推薦書を提出できる方を対象とします。採択された研究者は、本財団へ結果報告書を提出するとともに、財団主催の贈呈式等の式典（年1回程度、2026年度は2026年7月頃開催予定）への参加が必要です。同一または類似の研究について他の助成金（競争的研究資金を含む）を受けている、あるいは受ける予定がある場合は、申請書類にその旨を記載し、必要に応じて追加書類の提出を求められることがあります。,"助成金総額：
200,000,000円 1件あたりの上限額：
20,000,000円",Konno＆レスター財団,http://https://kr-fd.or.jp/,研究 / テクノロジー / 環境,2025-10-08
2026年度　【若手部門】 農林水産業における革新的・先進的技術に関する研究,2025-10-01,2026-01-15,日本の大学・高等専門学校・研究所等に勤務し主体的に研究を進める常勤の研究者、2026年4月1日時点で大学院後期課程に在籍する者（進学予定者を含む）、並びに同日時点で35歳未満の博士研究員を対象とします。申請には所属機関長等の推薦書、本財団への研究結果報告書、および年1回程度開催される贈呈式等の式典（2026年度は2026年7月頃開催予定）への参加を要します。同一または類似の研究で他の助成金（競争的研究資金を含む）の受給が確定している、または予定がある場合は申請書類にその旨を記載することを要し、必要に応じて追加書類の提出を求める場合があります。,"助成金総額：
100,000,000円 1件あたりの上限額：
1,000,000円",Konno＆レスター財団,https://fields.canpan.info/grant/detail/2342,研究 / テクノロジー / 環境,2025-10-08
ローム　研究公募2026,2025-09-08,2025-11-10,大学、高等専門学校、および公的研究機関に所属する研究者を対象としています。,"助成金総額：
13,750,000円 1件あたりの上限額：
2,750,000円",ローム株式会社　研究公募事務局,https://www.rohm.co.jp/rd/offer?utm_source=fields.canpan.info&utm_medium=cpc&utm_campaign=JP_BA_kenkyukobo_2026,研究 / 教育,2025-10-08
2025年度 特定課題 人口減少と日本社会,2025-09-10,2025-11-11,なし,"助成金総額：
45,000,000円 1件あたりの上限額：
10,000,000円",トヨタ財団,https://www.toyotafound.or.jp/grant/population/,研究 / 地域活性 / 福祉,2025-10-08
2026年度 展覧会･公演等の開催費用に対する助成金給付,2025-10-01,2025-12-01,上記の活動を主催する個人の芸術家、および小規模な文化芸術団体を対象とする。個人の芸術家は本人が、団体は代表者が2026年4月1日時点で40歳以下であることを条件とする。 団体は正規の構成員が概ね10人以下（オーケストラは30人程度以下）の小規模であることが必要となり、2026年11月1日時点で過去3年間、応募分野において国内で主催の公開活動を1回以上実施していることも求められる。ただし、設立間もない団体については、代表者や活動状況等から総合的に判断する場合がある。 加えて、主たる構成員が芸術家であり、定款に準ずる規約や会則等を有し、経理機能をもった会計組織を有することも条件とする。,"助成金総額： 1件あたりの上限額：
1,000,000円",戸部眞紀財団,https://tobe-maki.or.jp/,芸術文化,2025-10-08
2025年度「SMBCグループライジング基金」 公募寄付,2025-09-08,2025-10-31,"年間予算規模は1,500万円以上2億円以下とし、下限を満たさない場合は今年度中に1,500万円程度まで拡大する根拠の提示を要します。また、有給の常勤スタッフが3名以上在籍し、法人設立から3年以上経過している団体を対象とします。","助成金総額：
22,000,000円 1件あたりの上限額：
10,000,000円",ETIC.,https://smbcrising.etic.or.jp/2025bosyu,その他,2025-10-08
2025年度特定課題「外国人材の受け入れと日本社会」,2025-09-01,2025-11-15,原文が提供されていないため、書き換えを行うことができません。,"助成金総額：
55,000,000円 1件あたりの上限額：
10,000,000円",トヨタ財団,https://www.toyotafound.or.jp/grant/migration/,研究 / 国際協力 / 福祉,2025-10-08
